ulasan_asli;kategori;preprocessed_text;tokens_count
Salah satu tempat nongkrong yg nyaman, pelayanannya juga bagus. Makanan & minumannya enakkk sukaaa;produk, suasana;salah satu tempat nongkrong nyaman layan bagus makan minum enakk sukaa;11
Tempatnya andalan buat nongkinongki, menunya udah termasuk lengkap disini. Rasanya enakk dengan harganya yaa worth it lah. Sering ngadain promo akhir bulan masyaAllah sangat membantu mahasiswa rantau. Sehat sehat people majumakmur🤗 …;harga;tempat andal buat nongkinongki menu masuk lengkap sini rasa enakk harga yaa padan it lah sering ngadain promo akhir bulan masyaallah sangat bantu mahasiswa rantau sehat sehat people majumakmur;29
Great place, great food! nyaman banget untuk nugas lama, wifi lancar, good service tapi masih bisa ditingkatkan lagi. overall good✨;pelayanan, suasana;bagus place bagus food nyaman sangat nugas lama wifi lancar bagus service tingkat overall bagus;15
menu makanan nya enak, kadang gofood untuk makan malam kalo lagi kerja. menu fav varian cabe garam dan cumi cabe ijo. semoga rasa nya selalu konsisten✨;produk;menu makan nya enak kadang gofood makan malam kalau kerja menu fav varian cabe garam cumi cabe ijo moga rasa nya selalu konsisten;23
"Pesanan cuma nasi telur 1 , antrian gak ada nunggu sampai 40mnt an
Itu orang dapur nya tidur dlu atau gmna";pelayanan, produk;pesan cuma nasi telur antri tidak tunggu mnt an orang dapur nya tidur dulu bagaimana;15
"tempat nya oke bangettt, nyamann, makanan enakk
, dan buka 24 jam, cocok deh buat anakk muda di Palangkaraya";produk, suasana;tempat nya oke bangett nyamann makan enakk buka jam cocok deh buat anakk muda palangkaraya;15
"Caffe yg skrg buka 24 jam, mknn ny enak enak
Pokok nya bintang 5
Kwetiau goreng nya terbaik
Sering aja teman ksini";produk;caffe sekarang buka jam makan ny enak enak pokok nya bintang kwetiau goreng nya baik sering teman ksini;18
selalu jadi tempat favorit buat nugas. tiap datang ke sini, tempat nya super comfortable. Buat aku dan temen temen yang suka monthly meeting, ini tempat paling bagus.;suasana;selalu jadi tempat favorit buat nugas tiap datang sini tempat nya super nyaman buat aku temen temen suka monthly meeting tempat paling bagus;23
makanan dan minuman nya sangat enak dan pelayanan nya pun mantap;pelayanan, produk;makan minum nya sangat enak layan nya mantap;8
tempat dan makanan nya enak dan pw , baristanya juga ramah, rekomen buat nugas ac nya dingin juga tempat duduknya banyak;produk, suasana;tempat makan nya enak pw baristanya ramah rekomendasi buat nugas ac nya dingin tempat duduk banyak;16
Pertama kali tau caffenya dari temen, katanya kwetiaunya enak. Akhirnya nyoba pesen, ternyata bener enak. Recomended;produk;pertama kali tau caffenya temen kata kwetiau enak akhir nyoba sen nyata benar enak rekomendasi;15
Pelayanan lama, makanan yang disajikan udah dingin, suka salah antar, padahal kita pesan duluan, kasir tidak ramah, dan mau order pesanan lagi harus nggu 5 menit katanya lagi sibuk produksi Beans, pas ada costumer baru langsung langsung dilayani, angsulan uang kembali nggk ada, harus nggu lagi, Cukup sekali aja kesini;pelayanan, produk;layan lama makan saji dingin suka salah antar padahal pesan duluan kasir tidak ramah mau order pesan nggu menit kata sibuk produksi beans pas costumer baru langsung langsung layan angsulan uang nggk nggu cukup sekali kesini;36
makanan nya selalu memuaskan enakkk betulll😍😍😍 …;produk;makan nya selalu muas enakk betull;6
Pelayanan sangat buruk, pesanan lambat di antar. Tidak rekomended, dibanding coffeeshop yang lain;pelayanan;layan sangat buruk pesan lambat antar tidak rekomended banding coffeeshop;10
tempat nya sangat enak biat nongki;produk, suasana;tempat nya sangat enak biat nongki;6
Tempat nya enak, makanan enak bangett,, bikin ketagihan ksini;produk, suasana;tempat nya enak makan enak bangett bikin tagih ksini;9
Tempatnya enak untuk santai ngbrol sma temen2, dri kopi smpai mknan mnrt ak enk smua;produk, suasana;tempat enak santai ngbrol sama temen kopi smpai mknan mnrt enk smua;12
Saya ojol dan saya mendapatkan orderan satu nasi goreng saya dapat orderan 06:51 sampai 07:30 belum jadi itu masak atau masak kalo belum Redy sekali lagi maaf mending d batalkan aja dulu soalnya kita driver kadang d salah kan ternyata tukang masak nya g ada adeh sakit pala kaya gini kalo mas yg d depan ni baik semua;produk;ojol dapat order satu nasi goreng order belum jadi masak masak kalau belum redy sekali maaf mending batal dulu soal driver kadang salah kan nyata tukang masak nya adeh sakit pala kaya gin kalau mas depan ni baik semua;39
Makanannya enak dan paling suka eskobar😃 …;produk;makan enak paling suka eskobar;5
Tempat nya nyama, adtetic dan cozy bngt buat ngerjain tugas juga nyaman bngt, makanan berat nya juga enak enak;produk, suasana;tempat nya nyama adtetic nyaman sangat buat ngerjain tugas nyaman sangat makan berat nya enak enak;16
"Eskobar menu andalan!
Makanan andalan tongsengnya whahahaha
Suasana juga nyaman buat bercengkrama bersama sanak saudara, teman, pacar, …";produk, suasana;eskobar menu andal makan andal tongseng whahahaha suasana nyaman buat bercengkrama sama sanak saudara teman pacar;16
tempatnya cozy bgtt, makanan dan minuman nya jg ENAKKK BGTTT smuanya🤤🤤, overaall mantep bgt sih buat nugas atau nongki² sm tman …;produk;tempat nyaman sangat makan minum nya enakk sangat smuanya overaall mantap sangat sih buat nugas nongki sama tman;18
Saya selaku driver online merasa kecewa dengan pelayanannya, kami datang validasi pin di resto dan menunggu pesanan, …;pelayanan;selaku driver online rasa kecewa layan datang validasi pin resto tunggu pesan;12
Enak strowberry matcha nya 🥰 …;produk;enak strowberry matcha nya;4
makanan disini enak trus kalo di dalam adem,cocok dahh;produk, suasana;makan sini enak terus kalau adem cocok dahh;8
Semua makanan sama minuman nya enak sesuai harga. Dan pelayanannya baik dan ramah;harga, produk;semua makan sama minum nya enak sesuai harga layan baik ramah;11
Makanan nya enak, tempatnya nyaman;produk, suasana;makan nya enak tempat nyaman;5
"tempat yg nyaman buat santai n kongkow
harga terjangkau, servis nya bagus
paling best indoor nya 👍👍👍 …";harga, suasana;tempat nyaman buat santai kongkow harga jangkau servis nya bagus paling best indoor nya;14
Nunggu pesanan gofood terlalu lama izinn;pelayanan;tunggu pesan gofood terlalu lama izinn;6
menu yang sangat bervariatif dengan pilihan harga yang pas di kantong, tempat yang nyaman dan kekinian;harga, produk, suasana;menu sangat variatif pilih harga pas kantong tempat nyaman kini;10
tempatnya nyaman, bersih, makanannya juga endulitaaa polll, bakal balik ke sini terusss;suasana;tempat nyaman bersih makan endulitaa poll bakal balik sini teruss;10
Rekomendasi banget buat nongkrong, makanan nya enak, pelayanannya ramah, dan tempatnya cozy;produk;rekomendasi sangat buat nongkrong makan nya enak layan ramah tempat nyaman;11
Makanan & minuman nya All perfect✨✨✨;produk;makan minum nya all perfect;5
Tempat nyaman, makanan bervariasi, pelayanan jg ramah 👍 …;pelayanan, produk, suasana;tempat nyaman makan variasi layan ramah;6
makanan nya enak dan pelayanan nya ramah;pelayanan, produk;makan nya enak layan nya ramah;6
Makan nya enak enak dan sangat recomend bangt makan disi🫶🏻 …;produk;makan nya enak enak sangat recomend bangt makan disi;9
salah satu pilihan gw, yg rekomend di maju makmur sih, kopi nya kerasa bngt dan ga ada yg hambar sedikit pun seperti kopi lain nya. gw sendiri barista yg suka kopi. kalian wajib ngerasain;pelayanan, produk;salah satu pilih rekomend maju makmur sih kopi nya rasa sangat tidak hambar sedikit kopi nya sendiri barista suka kopi kalian wajib ngerasain;23
Tolong di perhatikan lagi mie limau kuitnya harusnya terasa bumbunya. Ini mie nya terasa hambar seperti tidak ada di kasih bumbu;produk;perhati mie limau kuit harus asa bumbu mie nya asa hambar tidak kasih bumbu;14
tempat nongki hitz Palangka Raya, cozy, uenakkk😍 …;suasana;tempat nongki hitz palangka raya nyaman uenakk;7
tempatnya nyaman dan semua makanannya enak;produk, suasana;tempat nyaman semua makan enak;5
kopinya ga pernah gaenak dan sangat recomended untuk pecinta kopi susu dan americano 😍 …;produk;kopi tidak pernah gaenak sangat rekomendasi cinta kopi susu americano;10
"Mantap Enakk makanan nya coy
tempatnya cozy jugaa";produk;mantap enakk makan nya coy tempat nyaman jugaa;8
menu minuman beragam, harganya juga sesuai dengan kualitas. Recommended!;produk;menu minum agam harga sesuai kualitas rekomendasi;7
Makanan dan kopi nya enak  tempat nya jg nyaman;produk, suasana;makan kopi nya enak tempat nya nyaman;7
Tempat nya enak harga pun ramah di kantong anak anak anak ku suka makanan dan cemilan disni 🤗 …;harga, produk, suasana;tempat nya enak harga ramah kantong anak anak anak ku suka makan cemilan disni;14
Makanan nya enak terutama kwitiaw goreng nya the best 😘😘😘 …;produk;makan nya enak utama kwitiaw goreng nya the best;9
Pesan dan langsung bayar.. tempat luas indoor dan outdoor meskipun selalu rame service lumayan cepat, untuk makanan enak tapi kopinya biasa saja;harga, pelayanan, produk, suasana;pesan langsung bayar tempat luas indoor outdoor meski selalu rame service lumayan cepat makan enak kopi biasa;17
Lain kali kalau resto lagi rame aplikasi gobiz gojek nya dimatikan. Driver nunggu hampir dua jam. Semua orang pengen uang tapi harus mikir juga sama keadaan orang aneh;pelayanan;kali kalau resto rame aplikasi gobiz gojek nya mati driver tunggu hampir jam semua orang ken uang mikir sama ada orang aneh;22
Maju Makmur Nyaman tempatnya, Enak Makananya dan Seru Buat nongkrongnya, The Best Pokoknya 🔥🔥🔥 …;produk, suasana;maju makmur nyaman tempat enak makananya seru buat nongkrongnya the best pokok;12
Makanannya selalu enak... dan selalu banyak promo, terbaik🫶 …;harga, produk;makan selalu enak selalu banyak promo baik;7
Makanan nya enak enak tempat nya bagus;produk, suasana;makan nya enak enak tempat nya bagus;7
enak bangett makanan dan tempatnya😍😍😍 …;produk;enak bangett makan tempat;4
Makanan dan minuman nya semua nya enak dan terjangkau;harga, produk;makan minum nya semua nya enak jangkau;7
Makanan enak, kopinya enak, tempatnya juga nyaman buat nongki bareng besti🫠 …;produk, suasana;makan enak kopi enak tempat nyaman buat nongki bareng besti;10
Tempat dan makanannya sangat rekomended;suasana;tempat makan sangat rekomended;4
Makananya jelas sangat enak² . Pelayanan yg baik . Coffee shop terbaik sepalangkaraya;pelayanan;makananya jelas sangat enak layan baik coffee shop baik sepalangkaraya;10
enak banget makanan dan tempat😍😍😍😍 …;produk, suasana;enak sangat makan tempat;4
makanannya oke dan enak tapi buat pelayanan kurang ya, pegawai kurang ramah. ya paling ada satu dua yang ramah, sisanya ekspresinya datar dan waktu antar pesenan ada beberapa pegawai yang hanya menaruh makanan ga ada komunikasi antar cust dan karyawan.;pelayanan, produk;makan oke enak buat layan kurang pegawai kurang ramah paling satu ramah sisa ekspresi datar waktu antar sen beberapa pegawai taruh makan tidak komunikasi antar cust karyawan;27
Makanan dan minuman nya enak semua💃🏻 …;produk;makan minum nya enak semua;5
Makananya enak mantap , cuma lama proses penyajiannya, dan udh beberapa kali ksana  kasir nya kurang ramah...itu sih yg ngerusak mood, ksr yg kurang ramah;pelayanan, produk;makananya enak mantap cuma lama proses saji beberapa kali ksana kasir nya kurang ramah sih ngerusak mood ksr kurang ramah;20
Tempatnya nyaman langganan banget makanannya juga enak semua karna udah sering dateng 😋🫶🏻 …;produk, suasana;tempat nyaman langgan sangat makan enak semua karna sering dateng;10
kopi dan makanannya enak, tempatnya comfy dan pelayanannya baok;produk;kopi makan enak tempat comfy layan baok;7
makanan hari ini rasanya kureng sotonya tidak dalam kondisi hangat, ayam sambal ijonya seperti tidak fresh, pantes saja promosi disuruh bintang 5 karena makanan kurang optimal pemasakannya;produk;makan hari rasa reng soto tidak kondisi hangat ayam sambal ijonya tidak segar pantes promosi suruh bintang makan kurang optimal masa;21
Tempatnyaa bagus dan luas, menu makanan nya banyak dan enak enakk salah satu tempat yang paling sering di kunjungin kalau mau nongkrong sama teman teman untuk makan siang🫶🏻 …;produk, suasana;tempatnyaa bagus luas menu makan nya banyak enak enakk salah satu tempat paling sering kunjungin kalau mau nongkrong sama teman teman makan siang;23
Makanan dan minuman nya enak semua, dan harga terjangkau;harga, produk;makan minum nya enak semua harga jangkau;7
Ramah, bersih, menu makanan beratny lumayan banyak dbanding coffeeshop kebanyakan dan enak2, cm klo ruame yo wess sabar, klo lapar harus sabar yak🤗 …;produk, suasana;ramah bersih menu makan beratny lumayan banyak dbanding coffeeshop banyak enak cm kalau ruame yo wess sabar kalau lapar sabar yak;21
Makanan nasi goreng maju makmur nya juara. Suasana nya enak dan pelayanan ok;pelayanan, produk, suasana;makan nasi goreng maju makmur nya juara suasana nya enak layan;11
Suka aja semua yg ada di sini makanan,layanan,suasananya;pelayanan, produk;suka semua sini makan layan suasana;6
Enak temptnya,mknn ny jg enak bget aplgi ad promo nya 😁 …;harga, produk;enak temptnya makan ny enak bget aplgi ad promo nya;10
Makanannya rekomended, tempatnya nyaman buat nongky bareng teman. Pelayanannya juga ramah;suasana;makan rekomended tempat nyaman buat nongky bareng teman layan ramah;10
Enak banget tempatnya! Nyaman, tenang, cocok lah buat nongkrong, ngopi, atau ngerjain tugas. Tempatnya bersih, pelayanannya juga ramah dan cepat. …;produk, suasana;enak sangat tempat nyaman tenang cocok lah buat nongkrong ngopi ngerjain tugas tempat bersih layan ramah cepat;17
Salah satu cafe dengan makanan lezat. Hampir semua menu makanan disini enak. Kalau suka yg berkuah, soto Betawi rekomen sih.;produk;salah satu cafe makan lezat hampir semua menu makan sini enak kalau suka kuah soto betawi rekomendasi sih;18
"Klo temen2 luar kota pada ke pky, enak nya nongkrong dimana yng makananny enak?
Of course jawabanku gada lain gada bukan
""MM"", all varian menu dan kopi enak, best nya sih kwetiau ayam,capcay terbaik,soto betawi ah semua enakk. Kopinya fav authentic sih. Overall 1000/10 deh pkoknya.";produk;kalau temen luar kota pky enak nya nongkrong yng makananny enak of course jawab gada gada bukan mm all varian menu kopi enak best nya sih kwetiau ayam capcay baik soto betawi ah semua enakk kopi fav authentic sih overall deh pkoknya;42
Makanannya dan minumannya enak enak , banyak dan berbagai macam cemilan serta karyawannya ramah ramah;produk;makan minum enak enak banyak bagai macam cemilan karyawannya ramah ramah;11
Makanan cafe 24 jam ter enak di pky , apa lagi nasgor dan soto betawi nya😍🥰 …;produk;makan cafe jam ter enak pky apa nasi goreng soto betawi nya;12
Makanan nya enak, masih ngerasain tahu bakso aja tapi isi nya full, kayak tahu walik gitu. Kopi nya juga enakk;produk;makan nya enak ngerasain tahu bakso isi nya full kayak tahu walik gitu kopi nya enakk;16
Makanan dan minuman nya enak semua;produk;makan minum nya enak semua;5
"Tempatnya bersih nyaman
Pelayanan nya baik ramah dan cepat
Makan dan minumannnya enak² apa lagi soto batawi menu favorit nampak banget";pelayanan, produk, suasana;tempat bersih nyaman layan nya baik ramah cepat makan minum enak apa soto batawi menu favorit nampak sangat;18
"Makanannya enak semuaaaaaaaa😭🤍
Sujud sama yang ngasi resep🛐🛐🛐 …";produk;makan enak semuaa sujud sama ngasi resep;7
